client1,client2,value1,time
1,0,0.0,
1,717898166011297842,13.2,2023-06-10 23:24:33.486622-04:00
784624817046421515,906310897235009568,6.6,2023-06-10 22:56:39.891915-04:00
388176255167496200,1078907577687089222,6.6,2023-06-10 23:37:41.994237-04:00
388176255167496200,612067911217184818,6.6,2023-06-10 23:37:42.001074-04:00
388176255167496200,784624817046421515,6.6,2023-06-10 23:37:42.006359-04:00
422994555923726338,420882722425143298,6.6,2023-06-10 23:42:48.730656-04:00
422994555923726338,1055073077123371090,6.6,2023-06-10 23:42:48.734354-04:00
422994555923726338,449410317597016074,6.6,2023-06-10 23:42:48.738130-04:00
799885323982340146,784624817046421515,6.6,2023-06-11 00:14:59.771281-04:00
428451817635053569,769491336138719253,6.6,2023-06-11 00:43:58.036789-04:00
428451817635053569,718938302358749395,6.6,2023-06-11 00:43:58.040575-04:00
428451817635053569,242437101893844992,6.6,2023-06-11 00:43:58.044384-04:00
892702057465798667,221077351834976258,6.6,2023-06-11 00:44:55.446497-04:00
892702057465798667,491771607723802646,13.2,2023-06-17 14:13:35.038012-04:00
341416131497820160,549772809191161868,6.6,2023-06-11 00:48:23.258584-04:00
416383984864329758,728405992320008332,6.6,2023-06-11 01:43:10.359823-04:00
617595835122974730,406734834359074816,13.2,2023-06-14 20:16:22.159264-04:00
617595835122974730,388176255167496200,16.5,2023-06-18 02:17:07.857803-04:00
416383984864329758,1105935202095730849,6.6,2023-06-11 01:49:47.190085-04:00
754003072807731301,966828978772000788,6.6,2023-06-11 02:03:15.999216-04:00
388176255167496200,611740793870352384,6.6,2023-06-11 02:17:16.753497-04:00
799885323982340146,576980014977777676,6.6,2023-06-11 02:20:09.071379-04:00
611740793870352384,406734834359074816,6.6,2023-06-11 02:32:50.959756-04:00
416383984864329758,769491336138719253,6.6,2023-06-11 02:48:30.037897-04:00
515741172098924547,966828978772000788,13.2,2023-06-11 17:23:10.028991-04:00
416383984864329758,1083870894465749203,128.7,2023-06-18 02:35:22.182718-04:00
966828978772000788,1055073077123371090,23.1,2023-06-17 20:46:02.386764-04:00
428451817635053569,548273887683674132,6.6,2023-06-11 05:48:12.780372-04:00
428451817635053569,826343607328833567,6.6,2023-06-11 06:33:23.905493-04:00
799885323982340146,874928369379201034,6.6,2023-06-11 07:06:34.463176-04:00
430842498492006420,577168342293544983,6.6,2023-06-11 07:45:54.965532-04:00
576962723540369454,805375805805821952,6.6,2023-06-11 07:48:17.419078-04:00
611740793870352384,877559332475134032,6.6,2023-06-11 08:50:00.785873-04:00
611740793870352384,496261809041571851,6.6,2023-06-11 09:03:23.743890-04:00
966828978772000788,874928369379201034,6.6,2023-06-11 10:00:35.498837-04:00
619731672228954167,449410317597016074,6.6,2023-06-11 10:33:38.853808-04:00
491771607723802646,665430191710928896,6.6,2023-06-11 12:26:35.452722-04:00
491771607723802646,631938129506336788,6.6,2023-06-11 12:26:35.456557-04:00
737413108775256135,983916600832974868,6.6,2023-06-11 13:00:27.152071-04:00
637754336201408532,416383984864329758,6.6,2023-06-11 13:06:19.608713-04:00
625187840837287937,966828978772000788,229.8,2023-06-16 23:37:08.084092-04:00
625187840837287937,794985389936869377,210.0,2023-06-11 13:09:20.895535-04:00
625187840837287937,718938302358749395,210.0,2023-06-11 13:09:20.900567-04:00
625187840837287937,807455755711545354,219.9,2023-06-22 21:39:21.855690-04:00
625187840837287937,911413267526742076,16.5,2023-06-22 16:43:23.722415-04:00
341997113393283093,993515826684637196,13.2,2023-06-13 07:11:43.618179-04:00
868241768787869726,944660312899088405,99.0,2023-06-22 18:40:17.878622-04:00
868241768787869726,915385474313490502,42.9,2023-06-18 23:42:41.040590-04:00
754003072807731301,951594791571968060,6.6,2023-06-11 14:50:06.303983-04:00
754003072807731301,911413267526742076,6.6,2023-06-11 14:50:06.310363-04:00
